,r_in,delta_r,m_disk,f_star,position_angle,inclination,xoffs,yoffs,lnprob
1955,9.38786839411253,162.96650291408054,-7.157859940024855,2.3424297405349464e-05,60.48276440780501,50.901853757173846,0.10434532531214444,-0.017826333477139737,-10733014.9375
1956,512.9646489061624,159.29124035909624,-6.576828756625682,1.7931890147941395e-05,0.5698788307866423,75.76487066874434,-1.3161734245134256,-1.845282620818199,-10733374.15625
1957,6.917177326363667,152.38691351760318,-7.2217505778643964,2.0732775060224223e-05,52.602688636711065,42.7495198431879,0.09970108599299911,0.047045312724569834,-10733019.90625
1958,6.874856184847557,159.79529565587555,-7.1647753757366,1.0549608493121528e-05,63.71782659030413,46.64028016948762,0.15248808403698688,0.07293709156297615,-10733012.65625
1959,36.51287162017401,128.85343555758772,-7.210908244039274,2.1588052072798402e-05,61.49876016699505,47.951791178167035,0.13762288221533392,-0.013802033120687056,-10733015.8125
1960,30.179012508870745,138.27655641824956,-7.175610235995568,2.2106508482137226e-05,61.32635352289245,47.35174934170173,0.03432665846667639,-0.11276924145977867,-10733016.0625
1961,441.37762267527864,196.67479933529552,-6.655616444903653,3.882410462693813e-05,3.603520548908076,55.38213303871628,-2.1811488988556067,-1.7590506528230336,-10733385.78125
1962,8.616036473499953,155.0343303751952,-7.184466323642867,2.1311292097863925e-05,65.44375703079896,48.11646990114183,0.06940787551511464,0.048410613445712194,-10733014.09375
1963,2.101929990057931,167.38051322497662,-7.175447255410652,1.2657835709082519e-05,62.36410372746745,51.15505671863314,0.08735447597688217,0.04071084022111149,-10733014.5625
1964,23.872307535046424,143.42832040058377,-7.18823255748513,2.043767034074385e-05,61.52497881182447,47.748503358220404,0.30359370803505437,0.028578688086366145,-10733018.1875
1965,7.479786089921729,160.2396236860665,-7.166066950278374,2.001373117077742e-05,58.41883137957133,48.25875996040862,0.024078190603895752,0.0076267835614675095,-10733015.125
1966,0.09416953395467731,164.02977174850741,-7.179120135179595,1.6968884578205594e-05,64.00955011410903,45.39640807884352,0.18996350454330369,0.011362724279748375,-10733012.46875
1967,8.674294438440178,164.2884175837896,-7.136272553023245,1.751585374962551e-05,64.45597289271316,49.34314354771094,0.18425514451936123,0.049054031571741825,-10733013.53125
1968,505.40857283461645,85.45011604922831,-7.634632898954673,3.98559740578005e-05,24.860923158208056,85.1877850857413,-1.855631343913891,-1.6360900956450828,-10733376.21875
1969,399.05875135160767,236.7686227144797,-5.888135557835743,4.982850784241738e-05,7.719828397751321,41.46386035638889,-1.3648052103643171,-1.8562239759435597,-10733397.03125
1970,1.2011714746077438,164.9913623047932,-7.188694573775283,1.684427473515217e-05,66.36572782440993,46.40673823663389,0.10355582175899114,-0.060548520108470213,-10733014.53125
1971,9.38786839411253,162.96650291408054,-7.157859940024855,2.3424297405349464e-05,60.48276440780501,50.901853757173846,0.10434532531214444,-0.017826333477139737,-10733014.9375
1972,512.9646489061624,159.29124035909624,-6.576828756625682,1.7931890147941395e-05,0.5698788307866423,75.76487066874434,-1.3161734245134256,-1.845282620818199,-10733374.15625
1973,6.902785849227473,152.18604195966319,-7.223174959610953,2.0751168132577825e-05,52.45391227429651,42.608594019915316,0.10163551225945523,0.048053634844555194,-10733019.03125
1974,6.874856184847557,159.79529565587555,-7.1647753757366,1.0549608493121528e-05,63.71782659030413,46.64028016948762,0.15248808403698688,0.07293709156297615,-10733012.65625
1975,36.51287162017401,128.85343555758772,-7.210908244039274,2.1588052072798402e-05,61.49876016699505,47.951791178167035,0.13762288221533392,-0.013802033120687056,-10733015.8125
1976,30.179012508870745,138.27655641824956,-7.175610235995568,2.2106508482137226e-05,61.32635352289245,47.35174934170173,0.03432665846667639,-0.11276924145977867,-10733016.0625
1977,441.37762267527864,196.67479933529552,-6.655616444903653,3.882410462693813e-05,3.603520548908076,55.38213303871628,-2.1811488988556067,-1.7590506528230336,-10733385.78125
