,r_in,delta_r,m_disk,f_star,position_angle,inclination,xoffs,yoffs,pp,lnprob
5875,14.126480561056528,152.0678043075228,-7.203068172701574,9.639348941244465e-06,68.03492708401771,47.71600837061862,0.07768495988121354,-0.019556718502617754,0.8379729915791446,-10733014.78125
5876,373.94145733297967,196.72821586816178,-8.438522037239258,2.2518144999213506e-05,46.14461635183408,48.43435400804905,1.5359044601199472,2.7413332743631296,2.2551862742588393,-10733399.0
5877,26.77834361809126,131.56936387742468,-7.211421741262403,1.6908447729453984e-05,60.77213274825516,45.33924290863281,0.13794123175806824,0.12297161080129476,1.189470333285045,-10733015.5
5878,21.657566780233786,130.47275958542426,-7.2445116942145455,2.104465637606997e-05,58.03041330165994,41.9068257899187,0.123551440140166,0.09115118336464648,1.3287290291184768,-10733018.15625
5879,23.811566843298397,149.9176752276522,-7.199330284970494,2.145772634904067e-05,63.66334500606493,47.37759942963053,0.12616356955918046,0.0460385859835417,0.855298443966205,-10733017.625
5880,433.1031888485148,41.3084267047593,-7.9348967176655325,4.917139969380153e-05,0.10493562337536844,32.99287322188778,2.3277838319140556,1.3844805053354479,-0.9093314204653584,-10733399.34375
5881,5.749548575522054,160.57946359577076,-7.1785423698583735,1.0164822363528316e-05,59.52513619563234,44.91602901115746,0.17754084088176939,0.08861507923558286,0.9453421004252632,-10733014.9375
5882,28.470796457828815,137.2190298884343,-7.167516459875212,2.2417545641071577e-05,58.33666002191866,47.303124713467106,0.027475312303529995,-0.05810581163985247,1.0815631336675002,-10733014.625
5883,1.471082865772667,169.73213751776467,-7.176100550726856,1.7026862279802657e-05,60.02173676903456,49.99342982590761,0.1375082968515836,0.04259673101302759,0.8652011086901135,-10733014.21875
5884,3.943532902380611,158.88840375804173,-7.172109838034884,1.5553338657687242e-05,64.45026503971592,46.80051955781098,0.1173824872782981,-0.016427755217776355,1.1233250514591073,-10733013.1875
5885,12.28040549524709,149.61471556089782,-7.202392720809455,2.270187208837087e-05,62.54504421034133,46.98230740469522,0.11777828014750229,0.0726983064058683,1.0849979229659859,-10733012.625
5886,6.485968782733015,154.17656284831486,-7.233928793014315,1.5362537659704515e-05,65.43513401406365,48.171345676836175,0.13492751339230874,0.0688196744090026,1.2318450597176278,-10733015.40625
5887,35.05195326423704,121.25061035953385,-7.217652903488322,2.1960157858652324e-05,63.20938926853996,44.82201399835807,0.08163594166040064,0.012657943970123646,1.2100801643452403,-10733016.53125
