,r_in,delta_r,m_disk,f_star,position_angle,inclination,xoffs_stellar,yoffs_stellar,r_in_gap,delta_r_gap,pp,lnprob
5639,9.700895572307767,154.79729894111122,-7.188331491333636,3.6029287926131817e-06,58.33646347914277,45.313470544195816,0.0920806404344793,0.1327047009687947,73.98686353251227,15.568492121357924,0.6926831665357034,-10733012.03125
5640,18.094399867154316,140.6772378786649,-7.197487633120517,7.393100719258423e-06,61.515408804475136,49.434024149718375,0.0935691525242786,0.10475395662268411,56.82595961752574,27.660482727934493,0.7876648229737222,-10733015.78125
5641,15.866532239009253,139.00877462243403,-7.221568219590165,1.0699515575836498e-05,57.493075917591696,46.39974776248629,0.1389421644397125,0.06860131041112762,72.75480999782516,14.711231545032447,1.0379477874108236,-10733008.6875
5642,4.462040203248161,162.06846913399082,-7.17135367829727,1.2412469309583419e-05,65.33462568870657,47.47634926536234,0.17021268350369823,0.05766696921403553,62.20515480644987,16.385740114241717,0.6587076981544091,-10733010.90625
5643,3.9322710727589545,161.94117702019597,-7.186090479639202,4.389469484778385e-06,67.45240812524209,47.181940847014744,0.0701065871599521,-0.020443891978437143,59.878580628409914,19.42865622406992,0.8099854177454356,-10733012.5
5644,9.750530313536064,145.36238872826226,-7.2296123073907355,9.274723515297309e-06,61.202872766545546,45.73301592868225,0.06581417646603642,0.05901868969233206,67.43433176972934,10.884792480198104,0.7782392744128132,-10733012.15625
5645,2.625267265340657,161.22626178523115,-7.1921352684307065,7.69437072179396e-06,67.21431365632255,47.30434668757261,0.1948203513003694,0.037566063793661536,66.79647943577632,16.155838922822756,0.9127292311310952,-10733011.84375
5646,6.75291401793168,147.13422603201872,-7.252117185628646,8.963725678388993e-06,58.50609284419891,45.292707537356044,0.19513516488674276,0.13274503708931598,57.198117203282735,16.28914269671833,0.6897214669560066,-10733018.375
5647,8.324038393369863,145.1329371517567,-7.241221112256682,1.045507319857584e-05,57.203508209654736,44.113988048860435,0.1115950037853326,0.1331253751833833,63.021222290963394,16.333015066505613,0.7005341606968267,-10733012.65625
5648,4.515177924937843,158.9460964068521,-7.210818135240533,7.867954952657799e-06,64.5809189889589,46.24934320727175,-0.04040304606920181,0.04210986014785416,63.337053312980686,16.645528503491505,0.6577511907818899,-10733009.625
5649,5.979573753374064,146.06823646965472,-7.262923244058264,1.119909425961076e-05,58.263958437728085,44.41564202294763,0.15002107365740336,0.09295241512602073,60.58893100676313,13.474382682937577,0.9722715764114144,-10733016.09375
5650,2.27222588314687,155.47303949635725,-7.2013631938374125,1.891476898103691e-05,64.08600281641537,45.76668714503299,0.14888938331710838,0.06165508487831595,65.6673688016798,9.098724282431059,0.9609391488338107,-10733011.46875
5651,2.963608047676952,156.1621458027292,-7.203069001978038,1.010338571110576e-05,64.25487286603644,45.46761538926928,0.10568210562539826,0.1487198816081083,59.88069280101417,22.631735951585558,0.7143199367422798,-10733010.78125
5652,14.230591765190562,144.18394617974164,-7.189213397784049,4.710759246315132e-06,63.54669932224718,45.785476799452184,0.06478360409372723,-0.0016199495641968653,74.22650302858071,8.08525203108375,0.6537405600715981,-10733015.65625
5653,9.829434094671228,145.19273325199137,-7.223210698009281,1.4968959601652779e-05,58.50682791157941,44.37462491911128,0.08795831910130729,0.1382430191650201,61.50466912803496,18.903337372456328,0.7483541535474278,-10733011.75
5654,26.587681231039944,136.22209302394592,-7.208300775979686,2.409390246603946e-06,54.82280238041308,45.53565923864904,0.011514892251412445,0.0028791928392071925,49.3202896101007,28.876935677110826,0.22644886767773242,-10733010.71875
5655,22.71505252890087,141.0997244602716,-7.187907435973985,3.485404856732648e-06,64.05626833605538,46.627945002082754,0.04705969376188816,0.09723641819076176,70.22729022500789,23.47292296906165,0.5428500337695173,-10733012.375
5656,4.511568059315815,163.50569897111123,-7.189181059653505,8.740383306743274e-06,61.74330616744956,47.91558389854694,0.13389182782377884,0.057736667717186704,64.99684430154726,21.767619490563096,0.578687980076648,-10733009.125
5657,-36.50382182239811,260.2201943741363,-0.9059238718345376,2.1303908948694187e-05,57.398358550618035,39.62050288786457,0.7582308681755181,0.9635216308668328,23.51533520507107,25.22943062460716,2.6297665031755626,-inf
5658,7.336062824593162,162.08546811054916,-7.192707700235739,5.205404158285835e-06,60.149858973478516,47.4068574966502,0.07707177376119619,-0.009473724647592469,51.67148245095059,16.375253317682393,0.4918846453251416,-10733011.6875
5659,6.438677828607069,154.96107673443012,-7.197117134712144,1.693264170521811e-05,61.10088935997915,47.56104349496771,0.14854694263665158,0.08263344043392452,72.02293727009554,2.4087052813941305,1.099745276000685,-10733012.15625
5660,9.877429072898982,143.4905443936531,-7.231343389519341,3.7816879965637417e-06,62.661692391274954,44.79071626537704,0.1807026299715106,0.09717473284310318,66.8418193552486,20.38147470310308,0.9256248634478093,-10733010.65625
5661,-65.37386079884881,235.10557035692165,-3.3344749795696886,4.398124180829542e-06,81.45586042417143,38.26360424987261,0.009231136471774204,1.1658934579332376,29.70663360548162,47.389050168687824,1.587055696610674,-inf
5662,14.62252876027529,141.86518890170703,-7.1827798805859,1.912016702135983e-06,63.89126871669638,47.889629795252176,0.14356137119353907,0.07095971130322033,72.85132635990686,16.513509711444897,0.8699524021753118,-10733013.34375
5663,4.809646742987681,157.19799679751745,-7.191821024317482,1.7774241973484814e-05,59.34430959819201,44.36701939929091,0.12597395557253047,0.021454382392750004,55.745044336629796,10.692728836206653,0.8369235146456132,-10733011.53125
5664,5.993656887144308,161.13568367551008,-7.1727623604317285,5.05197839285137e-06,66.82838303475448,46.54803230422588,-0.06327812029573132,-0.0015050160860329564,57.456068680867894,21.90314969687074,0.5125956199933264,-10733010.28125
5665,9.61880535093551,154.87188666112306,-7.188375622100601,3.6503969974321755e-06,58.43946276835597,45.33656834643249,0.09327260887075203,0.13160091888076847,73.90344193422519,15.575306417822176,0.695236103090743,-10733011.59375
5666,14.867702254007165,145.74041377304718,-7.191301883057486,8.581155102300333e-06,62.419394490612014,48.97065426861155,0.11171021574235401,0.09360874965722751,58.09918279419336,24.991818903228246,0.7571414464555319,-10733012.40625
5667,15.866532239009253,139.00877462243403,-7.221568219590165,1.0699515575836498e-05,57.493075917591696,46.39974776248629,0.1389421644397125,0.06860131041112762,72.75480999782516,14.711231545032447,1.0379477874108236,-10733008.6875
