,r_in,delta_r,m_disk,f_star,cos_position_angle,cos_inclination,xoffs_stellar,yoffs_stellar,pp1,pp2,pp3,rt1,rt2,lnprob
4175,10.751716133758242,162.58533185941823,-7.128761930193115,1.5109598095974574e-05,0.4980895836664595,0.6464721256542355,0.1244724547831145,0.049345303734283905,4.1467087308365,0.23646399383950945,0.9383417973787567,17.900837046562764,52.390067157251934,-10733016.96875
4182,1.6329460418949822,164.5443054352044,-7.177006252471757,1.8099945362821158e-05,0.48810153987947447,0.6872891679379491,0.058013184748785446,-0.03522527531371614,-1.3613635963349218,-1.8624369733867976,1.3114988775469203,3.9083888839601855,12.161467110247074,-10733014.78125
4184,26.881427070999276,131.42593281657082,-7.182893796012713,2.2115923719096155e-05,0.5029718333893164,0.6756146968932707,0.11574019329851007,0.0633024944398558,2.4821183009705523,-2.9186692226597293,1.5766768252698729,47.311212764258485,59.74606735752152,-10733011.78125
4188,27.609999587103815,135.60639193847857,-7.215076153450253,1.7664786972108925e-05,0.4678474236322119,0.6614643425804008,0.05449017111241894,-0.01016111567679135,0.06012008976357297,0.8774697369334793,1.3288861518315704,28.772987829646773,66.13361527730079,-10733014.09375
4205,10.751716133758242,162.58533185941823,-7.128761930193115,1.5109598095974574e-05,0.4980895836664595,0.6464721256542355,0.1244724547831145,0.049345303734283905,4.1467087308365,0.23646399383950945,0.9383417973787567,17.900837046562764,52.390067157251934,-10733016.96875
4212,1.6329460418949822,164.5443054352044,-7.177006252471757,1.8099945362821158e-05,0.48810153987947447,0.6872891679379491,0.058013184748785446,-0.03522527531371614,-1.3613635963349218,-1.8624369733867976,1.3114988775469203,3.9083888839601855,12.161467110247074,-10733014.78125
4214,26.881427070999276,131.42593281657082,-7.182893796012713,2.2115923719096155e-05,0.5029718333893164,0.6756146968932707,0.11574019329851007,0.0633024944398558,2.4821183009705523,-2.9186692226597293,1.5766768252698729,47.311212764258485,59.74606735752152,-10733011.78125
4218,28.02422639043074,134.66737701170075,-7.2133235616180436,1.763636231843593e-05,0.4674411517281035,0.6608679009050946,0.0529908361300898,-0.010306933544745144,0.013450134658798074,0.8681501426948569,1.3862980052060467,29.179590135993596,65.28315979508281,-10733013.96875
4235,10.751716133758242,162.58533185941823,-7.128761930193115,1.5109598095974574e-05,0.4980895836664595,0.6464721256542355,0.1244724547831145,0.049345303734283905,4.1467087308365,0.23646399383950945,0.9383417973787567,17.900837046562764,52.390067157251934,-10733016.96875
4242,1.6329460418949822,164.5443054352044,-7.177006252471757,1.8099945362821158e-05,0.48810153987947447,0.6872891679379491,0.058013184748785446,-0.03522527531371614,-1.3613635963349218,-1.8624369733867976,1.3114988775469203,3.9083888839601855,12.161467110247074,-10733014.78125
4244,26.881427070999276,131.42593281657082,-7.182893796012713,2.2115923719096155e-05,0.5029718333893164,0.6756146968932707,0.11574019329851007,0.0633024944398558,2.4821183009705523,-2.9186692226597293,1.5766768252698729,47.311212764258485,59.74606735752152,-10733011.78125
4248,28.02422639043074,134.66737701170075,-7.2133235616180436,1.763636231843593e-05,0.4674411517281035,0.6608679009050946,0.0529908361300898,-0.010306933544745144,0.013450134658798074,0.8681501426948569,1.3862980052060467,29.179590135993596,65.28315979508281,-10733013.96875
4265,10.751716133758242,162.58533185941823,-7.128761930193115,1.5109598095974574e-05,0.4980895836664595,0.6464721256542355,0.1244724547831145,0.049345303734283905,4.1467087308365,0.23646399383950945,0.9383417973787567,17.900837046562764,52.390067157251934,-10733016.96875
4272,1.6329460418949822,164.5443054352044,-7.177006252471757,1.8099945362821158e-05,0.48810153987947447,0.6872891679379491,0.058013184748785446,-0.03522527531371614,-1.3613635963349218,-1.8624369733867976,1.3114988775469203,3.9083888839601855,12.161467110247074,-10733014.78125
4274,26.881427070999276,131.42593281657082,-7.182893796012713,2.2115923719096155e-05,0.5029718333893164,0.6756146968932707,0.11574019329851007,0.0633024944398558,2.4821183009705523,-2.9186692226597293,1.5766768252698729,47.311212764258485,59.74606735752152,-10733011.78125
4278,28.02422639043074,134.66737701170075,-7.2133235616180436,1.763636231843593e-05,0.4674411517281035,0.6608679009050946,0.0529908361300898,-0.010306933544745144,0.013450134658798074,0.8681501426948569,1.3862980052060467,29.179590135993596,65.28315979508281,-10733013.96875
4295,10.751716133758242,162.58533185941823,-7.128761930193115,1.5109598095974574e-05,0.4980895836664595,0.6464721256542355,0.1244724547831145,0.049345303734283905,4.1467087308365,0.23646399383950945,0.9383417973787567,17.900837046562764,52.390067157251934,-10733016.96875
4302,1.6329460418949822,164.5443054352044,-7.177006252471757,1.8099945362821158e-05,0.48810153987947447,0.6872891679379491,0.058013184748785446,-0.03522527531371614,-1.3613635963349218,-1.8624369733867976,1.3114988775469203,3.9083888839601855,12.161467110247074,-10733014.78125
4304,26.881427070999276,131.42593281657082,-7.182893796012713,2.2115923719096155e-05,0.5029718333893164,0.6756146968932707,0.11574019329851007,0.0633024944398558,2.4821183009705523,-2.9186692226597293,1.5766768252698729,47.311212764258485,59.74606735752152,-10733011.78125
4308,28.02422639043074,134.66737701170075,-7.2133235616180436,1.763636231843593e-05,0.4674411517281035,0.6608679009050946,0.0529908361300898,-0.010306933544745144,0.013450134658798074,0.8681501426948569,1.3862980052060467,29.179590135993596,65.28315979508281,-10733013.96875
4325,10.751716133758242,162.58533185941823,-7.128761930193115,1.5109598095974574e-05,0.4980895836664595,0.6464721256542355,0.1244724547831145,0.049345303734283905,4.1467087308365,0.23646399383950945,0.9383417973787567,17.900837046562764,52.390067157251934,-10733016.96875
4332,1.6329460418949822,164.5443054352044,-7.177006252471757,1.8099945362821158e-05,0.48810153987947447,0.6872891679379491,0.058013184748785446,-0.03522527531371614,-1.3613635963349218,-1.8624369733867976,1.3114988775469203,3.9083888839601855,12.161467110247074,-10733014.78125
4334,26.881427070999276,131.42593281657082,-7.182893796012713,2.2115923719096155e-05,0.5029718333893164,0.6756146968932707,0.11574019329851007,0.0633024944398558,2.4821183009705523,-2.9186692226597293,1.5766768252698729,47.311212764258485,59.74606735752152,-10733011.78125
4338,28.02422639043074,134.66737701170075,-7.2133235616180436,1.763636231843593e-05,0.4674411517281035,0.6608679009050946,0.0529908361300898,-0.010306933544745144,0.013450134658798074,0.8681501426948569,1.3862980052060467,29.179590135993596,65.28315979508281,-10733013.96875
